,last_touch,linear,time_decay,markov,shapley,shao,first_touch
(Other) : (not set),0.0,,,0.0,0.0,,0.0
Affiliates : Data Share Promo,0.0,,,0.0,0.0,,0.0
Direct : (not set),0.665461,0.579641,0.602049,0.580107,0.546879,0.603441,0.51085
Display : (not set),0.003617,0.00437,0.004521,0.004353,0.00601,0.003423,0.003617
Organic Search : (not set),0.138336,0.175934,0.165582,0.209126,0.183059,0.03705,0.207957
Paid Search : (not set),0.0,,,0.0,0.0,,0.0
Paid Search : AW - Accessories,0.018987,0.020268,0.019952,0.019249,0.021792,0.017087,0.0217
Paid Search : AW - Apparel,0.0,,,0.0,0.0,,0.0
Paid Search : AW - Dynamic Search Ads Whole Site,0.003617,0.005651,0.005214,0.00442,0.006693,0.005154,0.007233
Paid Search : AW - Electronics,0.0,,,0.0,0.0,,0.0
Referral : (not set),0.152803,0.195148,0.183996,0.164163,0.216366,0.327789,0.228752
Social : (not set),0.017179,0.018987,0.018686,0.018583,0.019201,0.006056,0.019892
